id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52
1002050194000002,بیمارستان تامین اجتماعی زاهدان,سیستان و بلوچستان,1102050194000006,فروش ضایعات آهن ,سیستان و بلوچستان,لوازم ساختمانی,,"['1402/07/30 13:00:00', '1402/08/18 19:00:00']","['1402/07/30 13:00:00', '1402/08/18 19:00:00']",PUBLISHED
1002050194000002,بیمارستان تامین اجتماعی زاهدان,سیستان و بلوچستان,1102050194000007,فروش ضایعات آلومینیوم,سیستان و بلوچستان,لوازم ساختمانی,,"['1402/07/30 13:00:00', '1402/08/18 19:00:00']","['1402/07/30 13:00:00', '1402/08/18 19:00:00']",PUBLISHED
1002050194000002,بیمارستان تامین اجتماعی زاهدان,سیستان و بلوچستان,1102050194000008,فروش ضایعات چدن,سیستان و بلوچستان,,,"['1402/07/30 13:00:00', '1402/08/18 19:00:00']","['1402/07/30 13:00:00', '1402/08/18 19:00:00']",PUBLISHED
1002003247000001,اداره کل بهزیستی استان قزوین,قزوین,1102003247000001,وانت مزدا به شماره شهربانی 12الف 971 ایران 79,قزوین,وسایط نقلیه مشمول کمیسیون ماده 2,,"['1402/07/30 12:00:00', '1402/08/18 14:00:00']","['1402/07/30 12:00:00', '1402/08/18 14:00:00']",PUBLISHED
1002003247000001,اداره کل بهزیستی استان قزوین,قزوین,1102003247000002,وانت مزدا به شماره شهربانی 12الف 972ایران 79,قزوین,وسایط نقلیه مشمول کمیسیون ماده 2,,"['1402/07/30 12:00:00', '1402/08/18 14:00:00']","['1402/07/30 12:00:00', '1402/08/18 14:00:00']",PUBLISHED
1002003247000001,اداره کل بهزیستی استان قزوین,قزوین,1102003247000003,وانت مزدا به شماره شهربانی 12الف 973ایران 79,قزوین,وسایط نقلیه مشمول کمیسیون ماده 2,,"['1402/07/30 12:00:00', '1402/08/18 14:00:00']","['1402/07/30 12:00:00', '1402/08/18 14:00:00']",PUBLISHED
1002003247000001,اداره کل بهزیستی استان قزوین,قزوین,1102003247000004,وانت مزدا به شماره شهربانی 12الف 975ایران 79,قزوین,وسایط نقلیه مشمول کمیسیون ماده 2,,"['1402/07/30 12:00:00', '1402/08/18 14:00:00']","['1402/07/30 12:00:00', '1402/08/18 14:00:00']",PUBLISHED
1002003247000001,اداره کل بهزیستی استان قزوین,قزوین,1102003247000005,وانت مزدا به شماره شهربانی 12الف 969 ایران 79,قزوین,وسایط نقلیه مشمول کمیسیون ماده 2,,"['1402/07/30 12:00:00', '1402/08/18 14:00:00']","['1402/07/30 12:00:00', '1402/08/18 14:00:00']",PUBLISHED
1002001309000005,شرکت سهامی  آب منطقه ای هرمزگان,هرمزگان,1102001309000005,ساماندهی رودخانه های شهرستان بندرخمیر در مقابل برداشت مصالح مازاد شن و ماسه رودخانه کهورستان 4,هرمزگان,,242167748.0,"['1402/07/30 12:00:00', '1402/08/20 10:00:00']","['1402/07/30 12:00:00', '1402/08/20 10:00:00']",PUBLISHED
1002004024000002,جمعیت هلال احمر جمهوری اسلامی ایران استان کرمانشاه,کرمانشاه,1102004024000002,فروش تعداد 6 دستگاه خودروی سبک و سنگین ,کرمانشاه,وسایط نقلیه,8170000000.0,"['1402/07/30 12:00:00', '1402/08/15 12:00:00']","['1402/07/30 12:00:00', '1402/08/15 12:00:00']",PUBLISHED
